ATTR,SCALAR,K
DBPH_GE_100,0.01,7
DCOV_25_50,1000,7
DCOV_50_75,1000,7
DCOV_75_100,1000,7
DCOV_GE_25,1000,7
DCOV_GE_50,1000,7
DCOV_GE_75,1000,7
DCOV_GE_100,1000,7
DVPH_25_50,10,7
DVPH_50_75,10,7
DVPH_75_100,10,7
DVPH_GE_25,10,7
DVPH_GE_50,10,7
DVPH_GE_75,10,7
DVPH_GE_100,10,7
REM_PCTD,10,7
VPH_REMD,10,7
TSME_BA,100,1
